licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
1009374,Manufacturer's Licence - Distiller,Kinsale Craft Brewery Ltd,Kinsale Craft Brewery Ltd,,Knocknabohily,Farmlane,Kinsale,Co. Cork
Byp087,Publican's Licence (7-Day Ordinary),The Urhan Inn Limited,The Urhan Inn,Iain O'sullivan,Urhan,Eyeries,Castletownbere,Co. Cork
1006961,Wine Retailer's On Licence,Perry Street Market Cafe Limited,Perry Street Market Cafe,Paul Coffey,3 And 4 Perry Street,,,Co. Cork
1008535,Special Restaurant Licence,Burger Chick Cork Limited,,,5 French Church Street And,18b Academy Street,,Co. Cork
Cxp301,Publican's Licence (7-Day Ordinary),Christy Burke,Ferry Arms,,Ferrypoint,Passage West,,Co. Cork
Cxp124,Publican's Licence (7-Day Ordinary),Arrowgrass Limited,J. J. Coppinger's,,55 Main Street,Midleton,,Co. Cork
1011981,Wine Retailer's Off Licence,Kbod Limited,,,6 The Cloisters,Church Road,Douglas,Co. Cork
1010278,Wholesaler Dealer in Wine & Spirits,Altomi Group Limited,Altomi Group,,Building 1000,2nd Floor,City Gate,Co. Cork
Cxp408,Publican's Licence (7-Day Ordinary),Gerfin Entertainment Limited,The Gerald Griffin,Trevor Fitzpatrick,1 Gerald Griffin Street,Cork,,Co. Cork
Byp029,Publican's Licence (7-Day Ordinary),Ridgestur Limited,Bantry Bay Hotel,,Wolfe Tone Square,Bantry,,Co. Cork
Cxp277,Publican's Licence (7-Day Ordinary),Thomas Keogh,The Huntsman Bar,,Belgooly,,,Co. Cork
1009810,Wholesaler Dealer in Wine,David O'sullivan,David O'sullivan Wines,,O'sullivan Wines Warehouse,Ashdale House,Blarney,Co. Cork
1010862,Manufacturer's Licence - Brewer,Clonakilty Brewing Company Limited,,Frank Roar Fredriksen,Clogheen Business Park,Unit 2,Clogheen,Co. Cork
Byp406,Publican's Licence (7-Day Ordinary),Sean Doyle And Colette Hurley,Kitty Mac's,Sean Doyle,Ring,Clonakilty,,Co. Cork
1012209,Wine Retailer's Off Licence,Cinnamon Cottage Cork Limited,Cinnamon Cottage,Patrick O'riordan,Monastery Road,Rochestown,,Co. Cork
Cxp334,Publican's Licence (7-Day Ordinary),Michael Good,Admiral Drake Bar,,Crosshaven,,,Co. Cork
Cxo300,"Spirit, Beer & Wine Retailer's Off Licence",Ctc Supermarkets Limited,Centra Doughcloyne,,Togher Cross,Cork,,Co. Cork
Byp012,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Westpond Lodges And Hotel Limited,Westlodge Hotel,Donal Kelleher,Bantry,,,Co. Cork
1010317,Wine Retailer's On Licence,Chang Thai Catering Limited,Kanok Thai Restaurant,Prapatsorn Phamornmethinee,8-9 Time Square,Ballincollig,,Co. Cork
Cxp1014,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Farnakill Limited,Macdonald Kinsale Hotel And Spa,,Rathmore Road,Kinsale,,Co. Cork
Mwp223,Publican's Licence (7-Day Ordinary),Springfort Hall Hotel Limited,Springfort Hall Hotel,Michael Paul Walsh,Springfort Hall,Baltydaniel,Mallow,Co. Cork
Cxp464,Publican's Licence (7-Day Ordinary),Wheels Within Wheels Limited,The Woodford Bar,Murt Lucey,64-65 St Patricks Street,And 4-5 Grand Parade And 19-20 Paul Street,Cork,Co. Cork
Cxp589,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Metropole Operators Limited,The Metropole Hotel,,Mccurtain Street,Harley Street And Patricks Quay,Cork,Co. Cork
Byp401,Publican's Licence (7-Day Ordinary),Jason Turner And Rebecca Turner,The Lyre Bar,,Lyre,Clonakilty,,Co. Cork
Cxp024,Publican's Licence (7-Day Ordinary),Derek And Lorraine Walsh Elm Tree Bar And Bistro Limited,The Elm Tree,,Glounthaune,Cork,,Co. Cork
Cxp500,Publican's Licence (7-Day Ordinary),Blackbird Tavern Limited,The Bowery  Bar,,18/21 Tuckey Street,Cork,,Co. Cork
Mwp403,Publican's Licence (7-Day Ordinary),J And M Aherne Limited,Mccarthy's Bar,,Kilworth,,,Co. Cork
Byp233,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Harbour View Hotel Limited,The Harbour View Hotel,Brian Foley,Main Street,Schull,,Co. Cork
Cxp020,Publican's Licence (7-Day Ordinary),Cs Pubs Limited,The Gaelic Bar,Alan Maher,Carrigtwohill,,,Co. Cork
1012285,Wine Retailer's On Licence,Xinyuan Limited,Soos Asian Street Food,De Song Ye,4 The Spa,Mallow,,Co. Cork
Cxp602,Publican's Licence (7-Day Ordinary),Eileen Cremin,The Gallows,,160 Bandon Road,Cork,,Co. Cork
Cxsr033,Special Restaurant Licence,Healyville Limited,The Meatball Place,Anthony Costello,8/9 Carey's Lane,Cork,,Co. Cork
1011726,"Spirit, Beer & Wine Retailer's Off Licence",Maxol Limited,Maxol Service Station,Dalepool Limited,Ballincollig,,,Co. Cork
Cxp177,Publican's Licence (7-Day Ordinary),Coachouse Catering Limited,The Old Imperial Hotel,Daniel Leahy,27 North Main Street,Youghal,,Co. Cork
Cxp350,Publican's Licence (7-Day Ordinary),Stepwild Limited,Celtic Twilight,,Upper Killeens,Rathpeacon,,Co. Cork
1011954,Wine Retailer's On Licence,Gbb Burger Limited,Gourmet Burger Bistro,Michael Condon,8 Bridge Street,,,Co. Cork
1011408,Wine Retailer's On Licence,Oak Fire Pizza,Oak Fire Pizza,Ozdemir Turkan,14 Rossa Street,Clonakilty,,Co. Cork
1011775,Wine Retailer's On Licence,The Wild Atlantic Good Food Coy Limited,Lemon Leaf Cafe,Tracy Keoghan,70 Main Street,Kinsale,,Co. Cork
Cxp995,Publican's Licence (7-Day Ordinary),Kitty O'se's Bar And Restaurant Limited,Kitty O'sé's,Eileen Finucane,"1, Pearse Street",Kinsale,,Co. Cork
Cxp962,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Granmont Limited,Hotel Isaacs,,48 And 48a Maccurtain Street,Cork,,Co. Cork
Cxp421,Publican's Licence (7-Day Ordinary),Speardale Limited,The Commons Inn Hotel,,Commons Road,Cork,,Co. Cork
1010952,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Beara Coast Hotel Limited,Beara Coast Hotel,,Cametringane,Castletownbere,Beara,Co. Cork
1012164,Wholesaler Dealer in Spirits,Tomahawk Liberty Limited,Kinsale Spirit Company,Ernest Cantillon,Cork Bonded Warehouse Limited,Little Island Business Park,,Co. Cork
Cxp375,Publican's Licence (7-Day Ordinary),David Swimburne Kpmg,Roisin Dubh,,15/16 Cattlemarket Avenue,Cork,,Co. Cork
Byp284,Publican's Licence (7-Day Ordinary),Michael Crowley And Danny Crowley,Wild Atlantic Bar,,Trafrask,Beara,,Co. Cork
Cxp579,Publican's Licence (7-Day Ordinary),Red Operations Limited,The Three Horseshoes,,290 Old Youghal Road,Cork,,Co. Cork
Cxp104,Publican's Licence (7-Day Ordinary),Noel Long,,,Mount Uniacke,Killeagh,,Co. Cork
Cxp1017,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Castlemartyr Country Hotel Resort Limited,Castlemartyr Resort Hotel,,Civil Parish Of Ballyoughtera,Barony Of Imokilly,Castlemartyr,Co. Cork
Cxp588,Publican's Licence (7-Day Ordinary),Montenotte Hotel Limited,The Montenotte Hotel,,Montenotte,Parish Of St Anne Shandon,Cork,Co. Cork
1011891,Wine Retailer's On Licence,Zinkin-treacy And Sons Limited,The Puffin Cafe,Spencer Treacy,Long Strand,Castlefreke,Clonakilty,Co. Cork
Cxp787,Publican's Licence (7-Day Ordinary),Copper Grove Investments Limited,The Brogan Inn,Donal Kelleher,Kilbrogan Hill,Bandon,,Co. Cork
Cxp1011,Publican's Licence (7-Day Ordinary),Drois Investments Limited,Trade House Central,,Unit 21 Ballincollig Shopping Centre,Ballincollig,,Co. Cork
Cxo203,Wine Retailer's Off Licence,Longs Foodstore Timoleague Limited,Smiths Of Timoleague,,3 Main Street,Timoleague,,Co. Cork
