licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Arp0232,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Parmont Limited,Esplanade Hotel,,Strand Road,Bray,,Co. Wicklow
1010336,Wine Retailer's On Licence,Brambles Deli Cafe Limited,Acton Cafe,Ciaran Reid,National Botanic Garden,Kilmacurragh,,Co. Wicklow
1006483,Wine Retailer's On Licence,Brambles Deli Café Limited,Russborough House Tea Rooms,Ciaran Reid,Russborough House,Russborough,Blessington,Co. Wicklow
Wwo0030,Wine Retailer's Off Licence,Elizabeth Walker,Quik Pick,,Main Street,Shillelagh,,Co. Wicklow
1004361,Publican's Licence (7-Day Ordinary),Top Point Taverns Limited,,,Unit 2 Barker House,"A.k.a:  Unit 2, Zoe House, Church Road",Greystones,Co. Wicklow
Arp0061,Publican's Licence (7-Day Ordinary),Leo Hogan,Peggy's Bar,,Kilmacoo,Avoca,,Co. Wicklow
Aro0667,Wine Retailer's Off Licence,Ard Services Limited,Fareplay,,Bray Service Station,Dublin Road,Bray,Co. Wicklow
Aro0629,Wine Retailer's Off Licence,Paul Kennedy,Kennedy's Quality Meats,,Main Street,Aughrim,,Co. Wicklow
1008285,"Spirit, Beer & Wine Retailer's Off Licence",Ard Services Limited,Topaz Service Station,,Kilmacanogue,,,Co. Wicklow
Cap0126,Publican's Licence (7-Day Ordinary),Ciaran O'toole,Katie Lowe's,,Kiltegan,,,Co. Wicklow
Arp0008,Publican's Licence (7-Day Ordinary),Shane O'farrell,The Ardmore Bar,,46 Main Street,Bray,,Co. Wicklow
Arp0480,Publican's Licence (7-Day Ordinary),Woodenbridge Inn Limited,Woodenbridge Hotel,,Arklow,,,Co. Wicklow
Arw0627,Wine Retailer's On Licence,Jhoi Hon Tan,Pings Chinese Restaurant And Take Away,,The Mall,Main Street,Wicklow,Co. Wicklow
Www0073,Wine Retailer's On Licence,Flynn And Flynn Global Trade Limited,The Happy Pear,,Westview House,Church Road,Greystones,Co. Wicklow
1008224,Wine Retailer's Off Licence,Ard Services Limited,Topaz,,Topaz Service Station,Bollarney,,Co. Wicklow
Arp0639,Publican's Licence (7-Day Ordinary),Rua Public House Limited,O'domnaill Rua's,,Redcross,,,Co. Wicklow
Arp0664,Publican's Licence (7-Day Ordinary),Powerscourt Golf Club Plc,,,Powerscourt Demesne,Enniskerry,,Co. Wicklow
Arp0258,Publican's Licence (7-Day Ordinary),Spice Market Limited,The Hollywood Inn,,Hollywood,,,Co. Wicklow
1012720,Wine Retailer's On Licence,Audrey Whelan,Victorian Tea Times,,37a Main Street,Arklow,,Co. Wicklow
Arp0456,Publican's Licence (7-Day Ordinary),Whyte Swan Developments Limited,Lawless Hotel,,Aughrim,,,Co. Wicklow
Arp0011,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Obalus Hotel Company Limited,Druids Glen Resort,,"Newtownmountkennedy, Leabeg Upper And","And Kilmullen, Newcastle",,Co. Wicklow
1004039,"Spirit, Beer & Wine Retailer's Off Licence",Quality Food Store Limited,,,Units 11 And 12 Egans Business Centre,Dargle Road,Bray,Co. Wicklow
Arp0234,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Benchford Holdings Limited,Summerhill House Hotel,Lorraine Sweeney,Enniskerry,,,Co. Wicklow
Arp0097,Publican's Licence (7-Day Ordinary),Nelphil Limited,Philip Healy,,Fitzwilliam Square & Bridge Street,Wicklow,,Co. Wicklow
Arp0241,Publican's Licence (7-Day Ordinary),Giltan Enterprises Limited,The Boomerang Bar,,7 Quinsboro Road,Bray,,Co. Wicklow
Arp0064,Publican's Licence (7-Day Ordinary),Paul Moore,J Moore,,Grangecon,,,Co. Wicklow
Wwo0029,"Spirit, Beer & Wine Retailer's Off Licence",Kenny's Super Valu (blessington) Limited,Kennys Supervalu,,Main Street,Blessington,,Co. Wicklow
Arw0503,Wine Retailer's Off Licence,Grangebirr Limited,Gala,Jeremy Connolly,Templerainey,Dublin Road,Arklow,Co. Wicklow
1006931,Wine Retailer's On Licence,Kenny's Supervalu (blessington) Limited,Svb,Dan Kenny,Main Street,Blessington,,Co. Wicklow
Arp0102,Publican's Licence (7-Day Ordinary),Ernan Esmonde,Ernie's Bar,,Market Square,,,Co. Wicklow
Arw0012,Wine Retailer's On Licence,Avoca Handweavers Shops Limited,Avoca,,Mount Usher,Ashford,,Co. Wicklow
1013780,Wine Retailer's On Licence,Cliona Byrne,The Broken Chair Cafe,Cliona Byrne,Moneylands Farm,Arklow,,Co. Wicklow
Arsr0491,Special Restaurant Licence,The Wicklow Heather Lodge Limited,The Wicklow Heather Lodge,Elizabeth Kenny,Laragh,Glendalough,,Co. Wicklow
1000644,Wine Retailer's On Licence,Donal Mcgillycuddy Junior,Djouce Golf Club,,Ballinastue Crossroads,,Roundwood,Co. Wicklow
Arp0007,Publican's Licence (7-Day Ordinary),Wavecrest Inn Limited,The Porterhouse,,Strand Road,Bray,,Co. Wicklow
Arp0663,Publican's Licence (7-Day Ordinary),Andrew Robertson,The Imaal Bar,,Seskin,Donard,,Co. Wicklow
1002769,Wine Retailer's Off Licence,Mccoys Oakview Retail Limited,P Mccoy And Sons,,Brockagh,Glendalough,,Co. Wicklow
Arp0669,Publican's Licence (7-Day Ordinary),Fewsdew Limited,West Wicklow House,Patrick Eustace,Main Street,Blessington,,Co. Wicklow
Arp0053,Publican's Licence (7-Day Ordinary),Mccrea (carnew) Limited,,,Main Street,Carnew,,Co. Wicklow
Arp0049,Publican's Licence (7-Day Ordinary),Kathleen Doyle,,,Woodside House,Ballinglen,,Co. Wicklow
1002736,Wholesaler Dealer in Spirits,Sigma-aldrich Ireland Limited,Sigma-aldrich Ireland Limited,Barry Deegan,Vale Road,Arklow,,Co. Wicklow
Arp0450,Publican's Licence (7-Day Ordinary),Avril Shannon,The Saltee,,Annacurra,,,Co. Wicklow
Wwo0067,Wine Retailer's Off Licence,Newcastle Garage Limited,Newcastle Quick Pick,Colm Watchorn,Newcastle,,,Co. Wicklow
1011972,Wine Retailer's On Licence,Aoife Stenson,Chomp Bakery And Café,Aoife Stenson,Market Square,Dunlavin,,Co. Wicklow
Arp0229,Publican's Licence (7-Day Ordinary),Sean Toomey,Toomeys Bar,,Donard,Dunlavin,,Co. Wicklow
Arp0079,Publican's Licence (7-Day Ordinary),Julie Townsend,The Cartoon Inn,,Market Square,Rathdrum,,Co. Wicklow
Arp0037,Publican's Licence (7-Day Ordinary),The Mary B Limited,,,81/82 Main Street,Arklow,,Co. Wicklow
Arp0435,Publican's Licence (7-Day Ordinary),Nicola Lyons,The Woodpecker,,Ballinela,Ashford,,Co. Wicklow
Wwo0032,Wine Retailer's Off Licence,Petrogas Group Limited,Applegreen Arklow,Liam Doyle,Wexford Road,Arklow,,Co. Wicklow
Wwo0013,"Spirit, Beer & Wine Retailer's Off Licence",Musgrave Operating Partners Ireland Limited,Supervalu,,Castle Street,Bray,,Co. Wicklow
1010562,"Spirit, Beer & Wine Retailer's Off Licence",Foxrock Motor Company Limited,Hillside Service Station,Ken O'connor,Monastery Road,Enniskerry,,Co. Wicklow
1013290,Wine Retailer's On Licence,Kippure Lodge Limited,Kippure Lodge Limited,,Kippure Estate,Manor Kilbride,Blessington,Co. Wicklow
1013457,Wine Retailer's On Licence,Charlesland Golf Course Limited,Charlesland Golf Club,,Charlesland Golf Club,Greystones,,Co. Wicklow
Arp0670,Publican's Licence (7-Day Ordinary),Popular Taverns Limited,The Hibernian Inn,Philip Ryan,1 Royal Marine Terrace,Bray,,Co. Wicklow
Arp0030,Publican's Licence (7-Day Ordinary),Murphys Bar Limited,,Brian Murphy,"49 Main Street,",Arklow,,Co. Wicklow
Arp0223,Publican's Licence (7-Day Ordinary),Roundwood Inn Limited,Roundwood Inn,,Roundwood,Bray,,Co. Wicklow
Arp0240,Publican's Licence (7-Day Ordinary),Hollybrough Limited,The Orchard Inn,,Killincarrig,Delgany,,Co. Wicklow
Arp0615,Publican's Licence (7-Day Ordinary),The Blessington Arms Limited,The Tudor Inn,,Main Street,Blessington,,Co. Wicklow
1010924,Wine Retailer's Off Licence,Roundtrack Limited,,,Bray Railway Station,Bray,,Co. Wicklow
Arp0104,Publican's Licence (7-Day Ordinary),Aine Esmonde,Fitzpatrick 's Bar,,Abbey Street,Wicklow,,Co. Wicklow
Aro0625,Wine Retailer's Off Licence,Halstad Developments Limited,Barndarrig Service Station,,Barndarrig,Kilbride,,Co. Wicklow
Arp0249,Publican's Licence (7-Day Ordinary),Kilpedder Inn Limited,Mcdyers,Gerard Mcdyer,Kilpedder Inn,Kilpeddar,,Co. Wicklow
Arw0530,Wine Retailer's On Licence,Petrogas Group Limited,"Spar Shop,rathnew Service Station",,Rathnew,,,Co. Wicklow
1007948,Manufacturer's Licence - Brewer,The Wicklow Brewery Limited,The Wicklow Brewery,Ashley Williams,Main Street,Redcross,,Co. Wicklow
Arp0074,Publican's Licence (7-Day Ordinary),Glenmalure Lodge Limited,Glen Malure Lodge,Mr Patrick Dowling,Glenmalure,Rathdrum,,Co. Wicklow
Arw0663,Wine Retailer's On Licence,Victor Cassoni And Alfredo Cassoni,Cassoni's Restaurant Wine Bar,,97 Strand Road,Bray,,Co. Wicklow
Aro0641,Wine Retailer's Off Licence,Eileen Breen,Flemings Barndarrig,,Barndarrig,Wicklow,,Co. Wicklow
Arp0006,Publican's Licence (Ordinary) Hotel - 1902 Act (Public Bar),Multilane Limited,Heather House Hotel,John Duggan,Strand Road,Bray,,Co. Wicklow
Arp0649,Publican's Licence (7-Day Ordinary),John Cullen,Cullens Lakeview Lounge,,Ballyknockan,Valleymount,,Co. Wicklow
Arp0005,Publican's Licence (7-Day Ordinary),Gerald Byrne,Vartry Lakes Golf Club,,Roundwood,,,Co. Wicklow
Arp0096,Publican's Licence (7-Day Ordinary),Gerald Byrne,The Bridge Tavern,,Bridge Street / South Quay,Wicklow,,Co. Wicklow
Arp0246,Publican's Licence (7-Day Ordinary),Multilane Limited,The Harbour Bar,Conor Duggan,1 Dock Terrace,Bray,,Co. Wicklow
Arp0112,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),The Glenview Hotel Limited,Glenview Hotel,,Glen O'the Downs,Kilmacanogue,Bray,Co. Wicklow
Arp0230,Publican's Licence (7-Day Ordinary),Vartry House Limited,Kavanaghs,Joseph Kavanagh,Roundwood,,,Co. Wicklow
Arp0466,Publican's Licence (7-Day Ordinary),Tony O'reilly,Se's (public House And Off Licence),,Market Square,,,Co. Wicklow
1012684,Wine Retailer's On Licence,Ahmed Laassri,Casa Pepe,,The Red House,Market Square,Wicklow Town,Co. Wicklow
Aro0627,Wine Retailer's Off Licence,Thomas Doran,,,Ocean View,Ballyguile,,Co. Wicklow
1013630,Wholesaler Dealer in Wine,Arthur Smith,The Art Of Bubbles,,Emoclew,"Quill Road, Kilmacanoque",Bray,Co. Wicklow
Arp0485,Publican's Licence (7-Day Ordinary),Michael Kealy,The Wagon Wheels,,Knockananna,Arklow,,Co. Wicklow
Arp0081,Publican's Licence (7-Day Ordinary),Ross (roy) Doyle,Doyles The Railway,,Market Square,Rathdrum,,Co. Wicklow
Arp0036,Publican's Licence (7-Day Ordinary),Helen Wolohan,The Brook House,,75 Lower Main Street,Arklow,,Co. Wicklow
Arw0237,Wine Retailer's On Licence,Patrick S.burke,,,48 Lower Main Street,Arklow,,Co. Wicklow
Arp0630,Publican's Licence (7-Day Ordinary),Seamus Mooney,Mooney,,Manorkilbride,Blessington,,Co. Wicklow
1009180,Wine Retailer's On Licence,Catherine Fulvio,Ballyknockan House And Cooking School,,Glenealy,,,Co. Wicklow
1011096,Wholesaler Dealer in Beer,Wines Of Italy Limited,,,"Unit 19, Newtownmountkennedy Business Centre",Newtownmountkennedy,,Co. Wicklow
Arw0550,Wine Retailer's On Licence,Coillte Teo,Avondale House,,Rathdrum,,,Co. Wicklow
Arp0065,Publican's Licence (7-Day Ordinary),James A. Cronin,The Tap Cafe,,Ballard,Kilbride,,Co. Wicklow
Aro0645,Wine Retailer's Off Licence,Vincent Browne,Glenealy Stores And Newsagents,,Glenealy,,,Co. Wicklow
1002025,Publican's Licence (7-Day Ordinary),Fachtna J. Whittle,Whistlers,,"Basement, Ground, First, And Second Floor",Market Square,,Co. Wicklow
Wwd0006,Wholesaler Dealer in Wine,Loic Le Lay And David Northover,Celtic Cellar,,158 Heathervue,Greystones,,Co. Wicklow
Arp0082,Publican's Licence (7-Day Ordinary),Shillelagh Hotel Avalon Limited,The Shillelagh Hotel,Mr Norman Pratt,Shillelagh,,,Co. Wicklow
1001591,Wholesaler Dealer in Wine & Spirits,Wines Of Italy Limited,,,"Unit 19, Newtownmountkennedy Business Centre",Newtownmountkennedy,,Co. Wicklow
Arp0073,Publican's Licence (7-Day Ordinary),Hunters Hotel Limited,Hunter's Hotel,,Newrath Bridge,Rathnew,,Co. Wicklow
Arp0629,Publican's Licence (7-Day Ordinary),The Burnaby Hotel Limited,The Burnaby,,Greystones,,,Co. Wicklow
Arp0022,Publican's Licence (7-Day Ordinary),Sean Stafford And Una O'leary,John Joes,,6 Upper Main Street,Arklow,,Co. Wicklow
Cap0107,Publican's Licence (7-Day Ordinary),Quinn's Of Baltinglass Limited,Quinns Supermarket,Mr Liam Quinn,Baltinglass,,,Co. Wicklow
1006430,Wine Retailer's On Licence,La Touche Wines 4u Limited,,Damian Sherlock,Units 1 And 2 Lat Touche Place,Greystones,,Co. Wicklow
Cap0112,Publican's Licence (7-Day Ordinary),Cathal Daly,Dj Kehoe's,,Weaver's Square,Baltinglass,,Co. Wicklow
Cap0114,Publican's Licence (7-Day Ordinary),R. N. Gillespie Limited,,Mr Arthur Norman Gillespie,Baltinglass,,,Co. Wicklow
Arp0460,Publican's Licence (7-Day Ordinary),P. O'connor (abbey Street Wicklow) Limited,O'connor's,Brian O'connor,Abbey Street,,,Co. Wicklow
1001809,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,,,"8,9,9a,9b And 10 Boulevard Shopping Centre",Quinsborough,Bray,Co. Wicklow
Wwo0012,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Greystones Shopping Centre,Bellevue Road,Greystones,Co. Wicklow
Arp0031,Publican's Licence (7-Day Ordinary),William Keogh Senior And William Keogh Junior,The Glen Lounge,,Castleruddery,Donard,,Co. Wicklow
Aro0654,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco Extra,,Wexford Road,Knockenrahanlower,Arklow,Co. Wicklow
Aro0564,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Rathnew,Wicklow,,Co. Wicklow
Arp0222,Publican's Licence (7-Day Ordinary),Rathsallagh House Limited,Rathsallagh House,,Dunlavin,,,Co. Wicklow
Wwo0003,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco Express,,Main Street,Kilcoole,,Co. Wicklow
Aro0606,"Spirit, Beer & Wine Retailer's Off Licence",John Pettitt Wexford Limited,Pettitt's Supermarkets,,Wexford Road,Arklow,,Co. Wicklow
Arw0003,Wine Retailer's On Licence,Publisher Services Limited,The European Club,,Brittas Bay,,,Co. Wicklow
Arp0002,Publican's Licence (7-Day Ordinary),Ken Duff Limited,Frank Duff,Madeline O'hanrahan,49/50 Main Street,Bray,,Co. Wicklow
Arp0025,Publican's Licence (7-Day Ordinary),Nicholas Kavanagh And Eoin Kavanagh,,,20 Main Street,Arklow,,Co. Wicklow
Arp0271,Publican's Licence (7-Day Ordinary),John Byrne,,,Crab Lane,Coolkenno,Shillelagh,Co. Wicklow
1002963,Wine Retailer's Off Licence,Brian Hendley,Hendleys,,The Bridge,Avoca,,Co. Wicklow
1002703,Wine Retailer's Off Licence,Dominic Brice,The Parting Glass,,Church Hill,Enniskerry,,Co. Wicklow
Www0063,Wine Retailer's On Licence,Adbeque Limited,Pizza's And Cream,,9b Albert Walk,Bray,,Co. Wicklow
Aro0062,Wine Retailer's Off Licence,W. Shanahan And J Shanahan Limited,Mace Ardbrae Service Station,,Vevay Road,Bray,,Co. Wicklow
Arp0058,Publican's Licence (7-Day Ordinary),Ms Olive Jacob,Jacob's,,Knockananna,,,Co. Wicklow
Wwo0035,"Spirit, Beer & Wine Retailer's Off Licence",Stephen Geraty Limited,Londis,Paul Byrne,Main Street,Carnew,,Co. Wicklow
Arp0658,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Resident's Bar),Royal Hotel Glendalough Limited,Glendalough Hotel,Patrick Casey,Glendalough,,,Co. Wicklow
Arp0092,Publican's Licence (7-Day Ordinary),S. V. Delahunt And Co Limited,,Mr Thomas Delahunt,Abbey Street,Wicklow,,Co. Wicklow
Wwsr0001,Special Restaurant Licence,Yu Ting Peng,Royal Park Restaurant,,Unit 5 Southview Centre,Greystones,,Co. Wicklow
Arsr0600,Special Restaurant Licence,Whitshed Investments Limited,The Hungry Monk,,Church Road,Greystones,,Co. Wicklow
Arp0111,Publican's Licence (7-Day Ordinary),The Exotic Inn Limited,Jim Doyles,Tony Doyle,Strand Road,Bray,,Co. Wicklow
Wwo0009,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco Ireland,,Tesco Shopping Centre,Vevay Road,Bray,Co. Wicklow
1009930,Special Restaurant Licence,The Orchard Activity Centre Limited,The Orchard Centre,,Kilaveney,Tinahely,,Co. Wicklow
Aro0635,Wine Retailer's Off Licence,Byrnes Stores Limited,,Mr Peter Byrne,Main Street,Aughrim,,Co. Wicklow
Arp0083,Publican's Licence (7-Day Ordinary),John Kenny And Jane Kenny Limited,John Kenny And Jane Kenny,,Shillelagh,,,Co. Wicklow
Arp0668,Publican's Licence (7-Day Ordinary),Byrnes Irish House Limited,Byrnes Irish House,,Kilcoole,,,Co. Wicklow
Aro0063,Beer & Wine Retailer's Off Licence,Dreamcaster Limited,Centra Quickstop Bray,,35b Vevay Road,Bray,,Co. Wicklow
1003130,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl,,Industrial Yarns,Dublin Road,Bray,Co. Wicklow
Wwo0021,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl,,Rathnew Road,Wicklow,,Co. Wicklow
Cap0109,Publican's Licence (7-Day Ordinary),Eamon Horan And Marie Horan,Horans Public House,,Main Street,Baltinglass,,Co. Wicklow
Arp0084,Publican's Licence (7-Day Ordinary),Seeu Entertainment Limited,Seeu Entertainment,Mr John Kenny,Shillilagh,,,Co. Wicklow
Arp0071,Publican's Licence (7-Day Ordinary),Glenealy Lodge Limited,Kings Glenealy,,Glenealy,,,Co. Wicklow
1013240,"Spirit, Beer & Wine Retailer's Off Licence",Harvieston Limited,,,Junction 12,Dublin Road,Newtownmountkennedy,Co. Wicklow
Arp0244,Publican's Licence (7-Day Ordinary),Paul Moynihan,Moynihan's Bar,,The Pinnacle,Donard,,Co. Wicklow
Wwo0066,Wine Retailer's Off Licence,Two Hoots Limited,Centra Shop,,Unit 8 Boghall Shopping Centre,Boghall Road,Bray,Co. Wicklow
Aro0600,"Spirit, Beer & Wine Retailer's Off Licence",R And J Casey Limited,Centra Foodmarket Rathdrum,Mr Robert Casey,Main Street,Rathdrum,,Co. Wicklow
1013163,"Wholesaler Dealer in Beer, Wine & Spirits",Italicatessen Limited,Italicatesen,Christian Reolon,Block F,Newtown Business And Enterprise Centre,Newtownmountkennedy,Co. Wicklow
Wwd0016,"Wholesaler Dealer in Beer, Wine & Spirits",Italicatessen Limited,,,Unit 40,Newtown Business And Enterprise Park,Newtown Mountkennedy,Co. Wicklow
Arp0086,Publican's Licence (7-Day Ordinary),P D Public House Limited,O'connor's,Darren Kavanagh,Tinahely,,,Co. Wicklow
1002192,Wine Retailer's Off Licence,Ard Services Limited,Topaz,,Brennan,Hollybrook,Killarney Road Bray,Co. Wicklow
Arp0154,Publican's Licence (7-Day Ordinary),James O'toole,,,Main Street,Aughrim,,Co. Wicklow
Aro0666,Wine Retailer's Off Licence,Ard Services Limited,Fareplay,,Parkview Service Station,Main Street,Blessington,Co. Wicklow
Arp0003,Publican's Licence (7-Day Ordinary),Hennessy Lounge Limited,Hennessy's,Ronan Hennessy,Main Street,Blessington,,Co. Wicklow
Arp0066,Publican's Licence (7-Day Ordinary),Jimblue Limited,Jack Whites Inn,Tadhg Kennedy,Ballinapark,Brittas Bay,,Co. Wicklow
Wwo0024,"Spirit, Beer & Wine Retailer's Off Licence",Musgrave Operating Partners Ireland Limited,Supervalu,,Charlesland Shopping Centre,Charlesland Newcastle,,Co. Wicklow
Cao0504,"Spirit, Beer & Wine Retailer's Off Licence",Fisher Stores Limited,Fisher Centra,,Edward Street,Baltinglass,,Co. Wicklow
Wwo0014,"Spirit, Beer & Wine Retailer's Off Licence",Two Hoots Limited,Centra Off Licence,,Unit 4/5 Boghall Shopping Centre,Boghall Road,Bray,Co. Wicklow
Aro0616,"Spirit, Beer & Wine Retailer's Off Licence",Aquafawn Limited,Aquafawn,Mr Kevin Gallagher,Church Street,,,Co. Wicklow
Arp0043,Publican's Licence (7-Day Ordinary),Joseph Tobin (the Farriers Inn),Moore's Public House,,Kilcashel,Avoca,,Co. Wicklow
Cap0117,Publican's Licence (7-Day Ordinary),Marea Hallinan Mckenna,The Dutchman Inn,,Edward Street And Bridge Street,Baltinglass,,Co. Wicklow
Arp0023,Publican's Licence (7-Day Ordinary),Kenneth Kenny,Butler's,,5 Main Street,Arklow,,Co. Wicklow
Arp0035,Publican's Licence (7-Day Ordinary),Declan Kenny,Castle Caterine,,34/35 Lower Main Street,Arklow,,Co. Wicklow
Arp0464,Publican's Licence (7-Day Ordinary),Margaret Nagle,,,South End Of Main Street,Avoca Village,Avoca,Co. Wicklow
1002741,"Spirit, Beer & Wine Retailer's Off Licence",M And A Power Limited,Power Centra Rathnew,,"Units 3,4,5 & 6 Merrymeeting Shopping Centre",Rathnew,,Co. Wicklow
Arsr0001,Special Restaurant Licence,Qinghua Lin,Lemontree Foods,,"Unit 1,ground Floor",Blessington Town Centre,Blessington,Co. Wicklow
Wwo0065,Wine Retailer's Off Licence,Helen Eager,Mountain View Stores,,Castleruddery,Donard,,Co. Wicklow
Arp0224,Publican's Licence (7-Day Ordinary),Glenbush Taverns Limited,The Coach Inn,,21 Dublin Road And Altered Premises,Attached And Adjoining,Bray,Co. Wicklow
Arp0024,Publican's Licence (7-Day Ordinary),Midgehill Limited,The Gin Mill,,18 Main Street,Arklow,,Co. Wicklow
Arp0598,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),"Bernard Doyle, Evan Doyle And Eoin Doyle",The Brooklodge Hotel,,Wicklow,Macreddin West,Aughrim,Co. Wicklow
Arp0106,Publican's Licence (7-Day Ordinary),Avondale Food Stores Limited,Goldsmiths,,3 Quinsboro Road,Bray,,Co. Wicklow
Ard0017,Wholesaler Dealer in Wine,Tankersley Wine Brokers Limited,Tankersley Wine Brokers,Mr James Fitzgerald,Tankersley Cottage Preban,Tinahely,,Co. Wicklow
Arp0256,Publican's Licence (7-Day Ordinary),Fairymount Taverns Limited,Vevay Inn,,1 O'byrne Road,Vevay Road,Bray,Co. Wicklow
Arp0076,Publican's Licence (7-Day Ordinary),Hnj Limited,Jacobs Well,Mr Noel Jacob,Main Street,Rathdrum,,Co. Wicklow
Wwo0033,Wine Retailer's Off Licence,Daly's (hollywood) Limited,Dalys,Brendan Daly,Knockroe,Hollywood Cross,Hollywood,Co. Wicklow
Cap0106,Publican's Licence (7-Day Ordinary),Heatherway Taverns Limited,Germaines,Mr Joseph Germaine Junior,Main Street,Baltinglass,,Co. Wicklow
Arp0052,Publican's Licence (7-Day Ordinary),Stephill Limited,Tuttys,,Stephens Street,Dunlavin,,Co. Wicklow
Wwd0014,"Wholesaler Dealer in Beer, Retailer of Spirits, Beer & Wine Off Licence",Dunnes Stores,Dunnes Stores,,Blessington New Town Centre,Blessington,,Co. Wicklow
1001176,"Wholesaler Dealer in Beer, Retailer of Spirits, Beer & Wine Off Licence",Dunnes Stores,Dunnes Stores,,Mount Kennedy Town Centre,Newtownmountkennedy,,Co. Wicklow
Wwo0011,"Spirit, Beer & Wine Retailer's Off Licence",Dunnes Stores,Dunnes Stores,Thomas Worrall,Quinsborough Road,Bray,,Co. Wicklow
Aro0632,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl,,Wexford Road,Arklow,,Co. Wicklow
Ard0006,"Wholesaler Dealer in Beer, Retailer of Spirits, Beer & Wine Off Licence",Dunnes Stores,,Dominic Somers,Bridgewater Centre,Ferrybank,Arklow,Co. Wicklow
Aro0065,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl,,Blacklion,Greystones,,Co. Wicklow
Wwd0010,Wholesaler Dealer in Wine,J A.branagan Meats Limited,,,127 Seasons Park,Newtownmountkennedy,,Co. Wicklow
1009074,Wine Retailer's On Licence,Arisu Korean Restaurant Limited,Arisu Korean Restaurant,Xiao Hui Zhong,119 Capel Street,,,Dublin 1
1012233,Wine Retailer's On Licence,La Terra Catering Limited,Terramadre Cafe,Katherine Liddy,13a Bachelors Walk,,,Dublin 1
N2011,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Beresford Hotel Limited,,,"20,21 And 21a Store Street Part 22 Store Street",Part 5 And 6 Frenchman's Lane And Premises Attached And Adjoining,Thereto Comprising Part 23 Store Street And 1 Beresford Place,Dublin 1
N0105,Publican's Licence (7-Day Ordinary),Garry O'reilly,O'reillys (the Deers Head),,151 & 152 Parnell Street,& 1 Parnell Place,,Dublin 1
N2307,Publican's Licence (7-Day Ordinary),Rostino Tavern Limited,O'connells,,30 Bachelor's Walk,,,Dublin 1
1001858,Special Restaurant Licence,Bo And Wei Limited,Musashi,,"Unit 2, Burton House Place",3 Customs House Square,Mayor Street,Dublin 1
1007874,Wine Retailer's On Licence,Arnotts Limited,Arnotts,,78 Liffey Street Upper,,,Dublin 1
1007197,Wine Retailer's On Licence,Wing's Cafe Limited,Wing's Cafe Limited,,46-49 O'connell Street,,,Dublin 1
N0372,"Spirit, Beer & Wine Retailer's Off Licence",Louise Carolan,Carolan's Off Licence,,12 Upper Sherrard Street,,,Dublin 1
1001634,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Resident's Bar),Weafley Limited In Receivership,The Maple Hotel,,74/75 Lower Gardiner Street,,,Dublin 1
1012553,Publican's Licence (ordinary) - Theatre,Point Pictures Limited,Odeaon Cinema Point Village,Siobhan Carr,Point Village Shopping Centre,Point Village,,Dublin 1
N1062,Publican's Licence (7-Day Ordinary),Emerald Bar And Bistro Limited,The Flowing Tide,,9 Lower Abbey Street,108 Marlborough Street,,Dublin 1
N1205,Publican's Licence (ordinary) - Theatre,Abbey Theatre Amharclann Na Mainistreach,T/a Abbey Theatre\peacock Theatre,,26 Lower Abbey St.,,,Dublin 1
N1084,Publican's Licence (7-Day Ordinary),Rosie Hackett Holdings Limited,Pipers Corner,,105/106 Marlborough Street,,,Dublin 1
1008645,Publican's Licence (7-Day Ordinary),Mountjoy Taverns Limited,Molloy's,,59 Talbot Street And,28 Talbot Place,,Dublin 1
1010654,Wine Retailer's On Licence,Han Yang Court Limited,Han Yang Court,Xiu Jin Chen,103 Parnell Street,,,Dublin 1
1010767,Wine Retailer's On Licence,Matthew And Son Cafe Limited,Brother Hubbard,Garrett Fitzgerald,153 Capel Street,,,Dublin 1
N2020,"Spirit, Beer & Wine Retailer's Off Licence",Jf Retail And Convenience Limited,Spar,,Belmont Hall,Middle Gardiner Street,,Dublin 1
1010358,Special Restaurant Licence,Mochaland Café Limited,,,20 Lower Ormond Quay,,,Dublin 1
